city,latitude,longitude,population,population_density,aqi,temperature,humidity,crime_rate,hospital_density,school_density,internet_score,employment_rate,green_cover,cost_of_living,climate_zone,development_tier,livability_score
Kolkata,22.5726,88.3639,4496694,,143,29.5,86,16041,416,,84,97,,74,Tropical,Tier 1,53.19
Delhi,28.6139,77.209,26495000,,92,33.4,48,15100,,,89,81,,73,Temperate,Tier 1,44.3
Mumbai,19.076,72.8777,15414288,,60,26.2,93,56435,1308,,68,84,,78,Tropical,Tier 1,53.98
Bangalore,12.9716,77.5946,,,,22.4,83,19365,,,50,84,,46,Temperate,Tier 1,48.5
Chennai,13.0827,80.2707,6599000,,82,27.9,86,11815,552,,67,80,,57,Tropical,Tier 1,53.58
Hyderabad,17.385,78.4867,9191000,,47,25.2,83,,852,,89,96,,39,Tropical,Tier 1,85.47
Pune,18.5204,73.8567,6200000,,,24.8,86,56435,660,,57,98,,51,Temperate,Tier 1,63.92
Ahmedabad,23.0225,72.5714,7645000,,,30.4,71,15796,1130,,60,86,,66,Arid,Tier 1,61.61
Jaipur,26.9124,75.7873,3073350,,,31.5,51,24279,408,,84,81,,38,Arid,Tier 2,59.93
Lucknow,26.8467,80.9462,3382000,,,31.3,70,18427,272,,66,87,,46,Temperate,Tier 2,54.03
Bhopal,23.2599,77.4126,1883381,,68,27.8,77,22572,146,,63,98,,73,Temperate,Tier 2,50.16
Indore,22.7196,75.8577,1994397,,,26.4,77,22572,244,,74,90,,84,Temperate,Tier 2,52.41
Patna,25.5941,85.1376,1684222,,,29.7,82,12918,248,,57,95,,87,Temperate,Tier 2,48.86
Chandigarh,30.7333,76.7794,1055450,,,28.3,77,407,60,,52,83,,84,Temperate,Tier 2,43.45
Kochi,9.9312,76.2673,677381,,,25.6,92,6225,,,51,89,,81,Tropical,Tier 2,46.74
Visakhapatnam,17.6868,83.2185,2035922,,,27.3,84,23877,130,,81,92,,43,Tropical,Tier 2,57.87
Surat,21.1702,72.8311,5935000,,,30.4,72,15796,341,,84,84,,58,Arid,Tier 2,57.12
Nagpur,21.1458,79.0882,2405665,,,26.9,88,56435,290,,86,93,,40,Temperate,Tier 2,59.88
Bhubaneswar,20.2961,85.8245,837737,,,29.5,86,10840,,,51,87,,53,Tropical,Tier 2,46.05
Bengaluru,12.9716,77.5946,12327000,,58,22.4,83,19365,,6320,76,91,,72,Temperate,Tier 1,64.52